director_name,actor_1_name,gross
Neill Blomkamp,Matt Damon,93050117.0
Les Mayfield,Robin Williams,92969824.0
Brett Ratner,Philip Seymour Hoffman,92930005.0
Rob Reiner,Bruno Kirby,92823600.0
Ben Affleck,Jeremy Renner,92173235.0
Joel Schumacher,Bradley Whitford,92115211.0
Peter Cattaneo,Tom Wilkinson,91714906.0
Tim Story,Chris Brown,91547205.0
Ivan Reitman,Richard Tyson,91457688.0
Jan de Bont,Liam Neeson,91188905.0
Morten Tyldum,Benedict Cumberbatch,91121452.0
Thomas Carter,Sean Patrick Thomas,91038276.0
Chris Columbus,Julia Roberts,91030827.0
Tim Story,Olivia Munn,90835030.0
Mike Newell,Jake Gyllenhaal,90755643.0
David Zucker,Beau Mirchoff,90703745.0
